Date	Person	Block	Plot_Nr	VIP_(1)	Species	original_species_in_non_VIP	%weeded	Comments
20200727	Cecile	1	12	0	Lp	1	0	
20200727	Cecile	1	12	0	Pt	1	3	
20200727	Cecile	1	12	0	Am		0	
20200727	Cecile	1	12	0	Cj		0.5	
20200727	Cecile	1	12	0	Cb	1	40	
20200727	Cecile	1	12	0	To		0	
20200727	Cecile	1	12	0	Dc		0	
20200727	Cecile	1	12	0	Hs	1	0	
20200727	Cecile	1	12	0	As	1	0	
20200727	Cecile	1	12	0	Sp		0	
20200727	Cecile	1	12	0	Pg		0	
20200727	Cecile	1	12	0	Ra	1	0	
20200727	Cecile	1	12	0	Pm		0.5	
20200727	Cecile	1	12	0	Ga	1	55	
20200727	Cecile	1	13	1	Hl		15	
20200727	Cecile	1	13	1	Cb		25	
20200727	Cecile	1	13	1	As		0	
20200727	Cecile	1	13	1	Ga		25	
20200727	Cecile	1	14	0	Hp		0	
20200727	Cecile	1	14	0	Be		0	
20200727	Cecile	1	14	0	Ao		0	
20200727	Cecile	1	14	0	Dg		0	
20200727	Cecile	1	14	0	Fr		0	
20200727	Cecile	1	14	0	Hl		0	
20200727	Cecile	1	14	0	Lp	1	0	
20200727	Cecile	1	14	0	Pt		0	
20200727	Cecile	1	14	0	Am	1	92	
20200727	Cecile	1	14	0	Cj		0	
20200727	Cecile	1	14	0	Cb		0	
20200727	Cecile	1	14	0	To	1	1	
20200727	Cecile	1	14	0	Dc	1	0	
20200727	Cecile	1	14	0	Hs		0	
20200727	Cecile	1	14	0	As		0	
20200727	Cecile	1	14	0	Sp		0	
20200727	Cecile	1	14	0	Pg		0	
20200727	Cecile	1	14	0	Ra		0	
20200727	Cecile	1	14	0	Pm		0	
20200727	Cecile	1	14	0	Ga		0.5	
20200727	Cecile	1	15	1	Hp		3	
20200727	Cecile	1	15	1	Dc		0	
20200727	Cecile	1	15	1	Sp		95	
20200727	Cecile	1	15	1	Pg		3	
20200727	Cecile	1	16	1	Dc		60	
20200727	Cecile	1	17	1	Ra		0	
20200727	Cecile	1	18	1	Be		0	
20200727	Cecile	1	18	1	Fr		0	
20200727	Cecile	1	18	1	Lp		0	
20200727	Cecile	1	18	1	Pt		2	
20200727	Cecile	1	18	1	To		0	
20200727	Cecile	1	18	1	Dc		1	
20200727	Cecile	1	18	1	Sp		80	
20200727	Cecile	1	18	1	Ga		10	
20200727	Cecile	1	19	0	Hp		0	
20200727	Cecile	1	19	0	Be		0	
20200727	Cecile	1	19	0	Ao		0	
20200727	Cecile	1	19	0	Dg	1	20	
20200727	Cecile	1	19	0	Fr		0	
20200727	Cecile	1	19	0	Hl		0	
20200727	Cecile	1	19	0	Lp		0	
20200727	Cecile	1	19	0	Pt	1	0.5	
20200727	Cecile	1	19	0	Am		0.5	
20200727	Cecile	1	19	0	Cj		0	
20200727	Cecile	1	19	0	Cb	1	40	
20200727	Cecile	1	19	0	To	1	40	
20200727	Cecile	1	19	0	Dc		0	
20200727	Cecile	1	19	0	Hs		0	
20200727	Cecile	1	19	0	As		0	
20200727	Cecile	1	19	0	Sp		0	
20200727	Cecile	1	19	0	Pg		0.5	
20200727	Cecile	1	19	0	Ra		0	
20200727	Cecile	1	19	0	Pm		0.5	
20200727	Cecile	1	19	0	Ga		1	
20200727	Cecile	1	20	1	Pt		92	
20200727	Cecile	1	21	20sp	Hp		0.5	
20200727	Cecile	1	21	20sp	Be		0	
20200727	Cecile	1	21	20sp	Ao		0	
20200727	Cecile	1	21	20sp	Dg		0	
20200727	Cecile	1	21	20sp	Fr		0	
20200727	Cecile	1	21	20sp	Hl		0	
20200727	Cecile	1	21	20sp	Lp		0	
20200727	Cecile	1	21	20sp	Pt		0.5	
20200727	Cecile	1	21	20sp	Am		35	
20200727	Cecile	1	21	20sp	Cj		6	
20200727	Cecile	1	21	20sp	Cb		8	
20200727	Cecile	1	21	20sp	To		8	
20200727	Cecile	1	21	20sp	Dc		0	
20200727	Cecile	1	21	20sp	Hs		0	
20200727	Cecile	1	21	20sp	As		0	
20200727	Cecile	1	21	20sp	Sp		15	
20200727	Cecile	1	21	20sp	Pg		2	
20200727	Cecile	1	21	20sp	Ra		0	
20200727	Cecile	1	21	20sp	Pm		5	
20200727	Cecile	1	21	20sp	Ga		2	
20200728	Cecile	1	22	0	Hp	1	5	
20200728	Cecile	1	22	0	Be		0	
20200728	Cecile	1	22	0	Ao	1	0	
20200728	Cecile	1	22	0	Dg		0	
20200728	Cecile	1	22	0	Fr		0	
20200728	Cecile	1	22	0	Hl		0	
20200728	Cecile	1	22	0	Lp		0	
20200728	Cecile	1	22	0	Pt		2	
20200728	Cecile	1	22	0	Am		0	
20200728	Cecile	1	22	0	Cj	1	80	
20200728	Cecile	1	22	0	Cb		0.5	
20200728	Cecile	1	22	0	To		0	
20200728	Cecile	1	22	0	Dc		0.5	
20200728	Cecile	1	22	0	Hs		0	
20200728	Cecile	1	22	0	As		0	
20200728	Cecile	1	22	0	Sp		0	
20200728	Cecile	1	22	0	Pg	1	0	
20200728	Cecile	1	22	0	Ra		0	
20200728	Cecile	1	22	0	Pm		0	
20200728	Cecile	1	22	0	Ga		0.5	
20200728	Cecile	1	23	0	Hp	1	3	
20200728	Cecile	1	23	0	Be		0	
20200728	Cecile	1	23	0	Ao		0	
20200728	Cecile	1	23	0	Dg		0	
20200728	Cecile	1	23	0	Fr	1	4	
20200728	Cecile	1	23	0	Hl		0	
20200728	Cecile	1	23	0	Lp		0	
20200728	Cecile	1	23	0	Pt		0	
20200728	Cecile	1	23	0	Am	1	15	
20200728	Cecile	1	23	0	Cj	1	75	
20200728	Cecile	1	23	0	Cb		0	
20200728	Cecile	1	23	0	To		0	
20200728	Cecile	1	23	0	Dc		0	
20200728	Cecile	1	23	0	Hs		0	
20200728	Cecile	1	23	0	As		0	
20200728	Cecile	1	23	0	Sp		0	
20200728	Cecile	1	23	0	Pg		0	
20200728	Cecile	1	23	0	Ra		0	
20200728	Cecile	1	23	0	Pm		0	
20200728	Cecile	1	23	0	Ga		0	
20200728	Cecile	1	24	1	Dg		40	
20200728	Cecile	1	24	1	Lp		15	
20200728	Cecile	1	24	1	Pt		3	
20200728	Cecile	1	24	1	To		25	
20200728	Cecile	1	25	1	Hp		60	
20200728	Cecile	1	25	1	Sp		70	
20200728	Cecile	1	25	1	Pg		0	
20200728	Cecile	1	25	1	Pm		15	
20200728	Cecile	1	26	1	Hl		92	
20200728	Cecile	1	27	0	Hp		0	
20200728	Cecile	1	27	0	Be		0	
20200728	Cecile	1	27	0	Ao		0	
20200728	Cecile	1	27	0	Dg	1	5	
20200728	Cecile	1	27	0	Fr		3	
20200728	Cecile	1	27	0	Hl		1	
20200728	Cecile	1	27	0	Lp	1	1	
20200728	Cecile	1	27	0	Pt		0	
20200728	Cecile	1	27	0	Am		1	
20200728	Cecile	1	27	0	Cj		3	
20200728	Cecile	1	27	0	Cb		10	
20200728	Cecile	1	27	0	To		45	
20200728	Cecile	1	27	0	Dc		1	
20200728	Cecile	1	27	0	Hs	1	0	
20200728	Cecile	1	27	0	As		0	
20200728	Cecile	1	27	0	Sp		0	
20200728	Cecile	1	27	0	Pg		0	
20200728	Cecile	1	27	0	Ra	1	0.5	
20200728	Cecile	1	27	0	Pm		3	
20200728	Cecile	1	27	0	Ga		0.5	
20200728	Cecile	1	28	0	Hp	1	4	
20200728	Cecile	1	28	0	Be	1	0	
20200728	Cecile	1	28	0	Ao	1	0	
20200728	Cecile	1	28	0	Dg		0	
20200728	Cecile	1	28	0	Fr	1	3	
20200728	Cecile	1	28	0	Hl		0.5	
20200728	Cecile	1	28	0	Lp		0	
20200728	Cecile	1	28	0	Pt		0	
20200728	Cecile	1	28	0	Am		0	
20200728	Cecile	1	28	0	Cj	1	90	
20200728	Cecile	1	28	0	Cb		2	
20200728	Cecile	1	28	0	To		1	
20200728	Cecile	1	28	0	Dc	1	1	
20200728	Cecile	1	28	0	Hs		0	
20200728	Cecile	1	28	0	As		0	
20200728	Cecile	1	28	0	Sp		0	
20200728	Cecile	1	28	0	Pg	1	0	
20200728	Cecile	1	28	0	Ra		0	
20200728	Cecile	1	28	0	Pm	1	0	
20200728	Cecile	1	28	0	Ga		0.5	
20200728	Cecile	1	29	0	Hp	1	2	
20200728	Cecile	1	29	0	Be	1	0	
20200728	Cecile	1	29	0	Ao		0	
20200728	Cecile	1	29	0	Dg		0	
20200728	Cecile	1	29	0	Fr		0	
20200728	Cecile	1	29	0	Hl		1	
20200728	Cecile	1	29	0	Lp		0.5	
20200728	Cecile	1	29	0	Pt		0	
20200728	Cecile	1	29	0	Am	1	15	
20200728	Cecile	1	29	0	Cj	1	28	
20200728	Cecile	1	29	0	Cb		0	
20200728	Cecile	1	29	0	To		0	
20200728	Cecile	1	29	0	Dc	1	0	
20200728	Cecile	1	29	0	Hs		0	
20200728	Cecile	1	29	0	As		0	
20200728	Cecile	1	29	0	Sp	1	35	
20200728	Cecile	1	29	0	Pg	1	0	
20200728	Cecile	1	29	0	Ra		0	
20200728	Cecile	1	29	0	Pm	1	7	
20200728	Cecile	1	29	0	Ga		0	
20200728	Cecile	1	30	1	Am		95	
20200728	Cecile	1	31	1	As		60	
20200728	Cecile	1	32	1	Lp		85	
20200728	Cecile	1	33	1	Fr		0.5	
20200728	Cecile	1	33	1	Pt		0.5	
20200728	Cecile	1	33	1	Sp		100	
20200728	Cecile	1	33	1	Ra		0	
20200728	Cecile	1	34	0	Hp	1	2	
20200728	Cecile	1	34	0	Be		0	
20200728	Cecile	1	34	0	Ao	1	0	
20200728	Cecile	1	34	0	Dg	1	0	
20200728	Cecile	1	34	0	Fr		0	
20200728	Cecile	1	34	0	Hl		0	
20200728	Cecile	1	34	0	Lp		0	
20200728	Cecile	1	34	0	Pt		0	
20200728	Cecile	1	34	0	Am		0	
20200728	Cecile	1	34	0	Cj		0	
20200728	Cecile	1	34	0	Cb	1	15	
20200728	Cecile	1	34	0	To		0	
20200728	Cecile	1	34	0	Dc		0	
20200728	Cecile	1	34	0	Hs		0	
20200728	Cecile	1	34	0	As		0	
20200728	Cecile	1	34	0	Sp	1	40	
20200728	Cecile	1	34	0	Pg	1	0.5	
20200728	Cecile	1	34	0	Ra	1	0	
20200728	Cecile	1	34	0	Pm		0	
20200728	Cecile	1	34	0	Ga	1	50	
20200728	Cecile	1	35	1	Hp		3	
20200728	Cecile	1	35	1	Be		20	
20200728	Cecile	1	35	1	Dg		0	
20200728	Cecile	1	35	1	Hl		7	
20200728	Cecile	1	35	1	Cb		4	
20200728	Cecile	1	35	1	Dc		10	
20200728	Cecile	1	35	1	Pg		60	
20200728	Cecile	1	35	1	Ra		0	
20200728	Cecile	1	36	1	Dg		0	
20200728	Cecile	1	36	1	Hl		0	
20200728	Cecile	1	36	1	Lp		0	
20200728	Cecile	1	36	1	Pt		0	
20200728	Cecile	1	36	1	Cb		45	
20200728	Cecile	1	36	1	To		20	
20200728	Cecile	1	36	1	Hs		0	
20200728	Cecile	1	36	1	As		0	
20200728	Cecile	1	37	0	Hp		0	
20200728	Cecile	1	37	0	Be		0	
20200728	Cecile	1	37	0	Ao	1	1	
20200728	Cecile	1	37	0	Dg		0	
20200728	Cecile	1	37	0	Fr	1	5	
